stamp,ax,ay,az,gx,gy,gz,px,py,pz,vx,vy,vz,qw,qx,qy,qz,bw_x,bw_y,bw_z,ba_x,ba_y,ba_z
1782727127.727813482,-4.379043767,-0.398538243,8.785312981,0.009307079,-0.010164063,0.000042237,-0.010172137,0.000221939,-0.001790273,-0.001936994,0.001386985,-0.003216616,0.973204768,-0.004058035,0.229897250,0.001807483,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.732017994,-4.391050166,-0.316894731,8.900574410,0.014633399,0.000488581,-0.007414613,-0.010179952,0.000225227,-0.001803155,-0.001780083,0.000176994,-0.002910984,0.973204434,-0.004056714,0.229898674,0.001809056,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.737784863,-4.249374660,-0.254461439,8.842943695,0.026351314,0.009010697,-0.007414613,-0.010188415,0.000222659,-0.001818796,-0.001155056,-0.001067346,-0.002513512,0.973197739,-0.004033509,0.229927531,0.001794989,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.742155075,-4.470292398,-0.160811528,8.658045154,0.015698668,-0.001641948,-0.011675671,-0.010193285,0.000216666,-0.001829994,-0.001073540,-0.001675324,-0.002611126,0.973193213,-0.004015858,0.229947118,0.001779540,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.747887373,-4.266183618,-0.199232004,8.770905303,0.017829198,-0.006968270,-0.012740932,-0.010199522,0.000205224,-0.001845799,-0.001102607,-0.002316763,-0.002903343,0.973192505,-0.004006305,0.229950472,0.001754748,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.751966000,-4.472693678,-0.107983383,8.725280987,0.027416576,0.001553846,-0.012740932,-0.010203945,0.000195064,-0.001857812,-0.001066434,-0.002665274,-0.002987222,0.973191301,-0.003988136,0.229956045,0.001733290,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.757824659,-4.741637011,-0.009530913,8.749293785,0.017829198,-0.006968270,-0.017001994,-0.010213778,0.000179598,-0.001874017,-0.002290219,-0.002614588,-0.002544772,0.973189581,-0.003963472,0.229964026,0.001696394,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.762271166,-4.542330791,0.127342034,8.866956493,0.017829198,-0.013359858,-0.012740932,-0.010226029,0.000169226,-0.001883813,-0.003220071,-0.002050659,-0.001861659,0.973192044,-0.003955096,0.229953931,0.001670908,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.767613411,-4.328616892,0.204182995,8.866956493,0.011437606,-0.011229329,-0.010610409,-0.010243217,0.000161617,-0.001892145,-0.003214799,-0.000797945,-0.001257644,0.973196264,-0.003951369,0.229936283,0.001650580,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.771852016,-4.479897517,0.110533075,8.871759052,0.014633399,-0.001641948,-0.001023028,-0.010256574,0.000160266,-0.001896566,-0.003087715,0.000160482,-0.000828278,0.973196722,-0.003948873,0.229934409,0.001647266,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.777652025,-4.323814332,0.153756120,8.835739856,0.010372344,-0.009098799,0.005368561,-0.010274058,0.000164570,-0.001899916,-0.002941106,0.001323706,-0.000326891,0.973196595,-0.003941638,0.229934939,0.001665622,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.782026052,-4.129310672,0.096125397,8.492356851,0.012502875,-0.006968270,0.002172768,-0.010285994,0.000172195,-0.001902892,-0.002516543,0.002162867,-0.001033690,0.973197823,-0.003937635,0.229929681,0.001683425,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.787640333,-4.631178142,-0.007129633,8.754096344,0.010372344,-0.002707212,0.000042237,-0.010301039,0.000186083,-0.001910724,-0.002843233,0.002784404,-0.001756576,0.973197349,-0.003934232,0.229931633,0.001698964,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.791989565,-4.580751267,0.000074207,8.914982088,0.002915494,-0.014425121,0.001107503,-0.010314969,0.000198800,-0.001916836,-0.003562421,0.003063677,-0.001053944,0.973198806,-0.003941994,0.229925232,0.001712304,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.797953844,-4.254177219,0.093724117,8.720478428,0.010372344,-0.004837741,0.002172768,-0.010336302,0.000219116,-0.001922023,-0.003591148,0.003748815,-0.000685280,0.973201529,-0.003951901,0.229913374,0.001733702,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.802030802,-4.501509035,0.043297242,8.845344975,0.000784963,-0.000576683,0.001107503,-0.010350818,0.000235533,-0.001924710,-0.003529861,0.004304722,-0.000633120,0.973200137,-0.003960812,0.229919002,0.001748772,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
